date,alimentaire,alimentaire hors tabac,ipc
2011-01-01,98.199050410527,97.05765314260415,94.47
2011-02-01,98.07977115724475,96.70915978167386,94.78
2011-03-01,97.24018554759076,95.70346816539349,95.67
2011-04-01,98.45200803821253,97.03544764951624,95.8
2011-05-01,97.23224886939347,95.63910012113124,96.84
2011-06-01,98.20526908665953,96.51257590539753,97.1
2011-07-01,97.46596504655746,95.6794186077433,96.9
2011-08-01,97.78820497590175,96.07093698842948,96.71
2011-09-01,98.44629752004315,96.6907464107575,96.94
2011-10-01,98.24627200242116,96.72785480297738,97.3
2011-11-01,97.83202924798164,96.674392850018,97.57
2011-12-01,96.14823813988741,94.90536504110379,97.87
2012-01-01,98.21357496601136,97.08556220202833,97.85
2012-02-01,98.18609532797706,96.96089965779167,98.38
2012-03-01,97.92263553888245,96.66369206661331,99.11
2012-04-01,97.58798507684882,96.24678866822259,99.09
2012-05-01,97.10277481485919,95.66354462748428,99.67
2012-06-01,98.51910465031264,97.30518116797728,100.1
2012-07-01,98.75992991738268,97.59955316929783,99.39
2012-08-01,98.13847060147829,96.73198744116505,98.82
2012-09-01,98.34922284321766,96.98814062952061,99.06
2012-10-01,97.8896129966969,97.38535630811957,100.0
2012-11-01,97.34361388660913,96.75512061249123,99.99
2012-12-01,97.46109515506254,96.64042630377476,100.01
2013-01-01,97.96549384128124,97.09954480016661,99.8
2013-02-01,98.20893622916196,97.48312394278264,99.84
2013-03-01,100.21418514375702,99.8012332302507,100.33
2013-04-01,96.43264801513321,95.6042930979633,100.65
2013-05-01,98.42049468818391,97.81901288109201,101.32
2013-06-01,97.24525500142246,96.67873734916061,101.79
2013-07-01,99.37556106106037,99.11402001913687,101.03
2013-08-01,98.78976625064523,98.54028374804633,100.5
2013-09-01,98.47832437024364,98.16075810850585,99.99
2013-10-01,99.08163191894707,98.64377753867184,99.88
2013-11-01,99.35489989256048,98.94302280989223,99.96
2013-12-01,98.5913751965564,98.25099690134275,100.09
2014-01-01,98.2423092716868,98.16573348759326,99.91
2014-02-01,98.22485752808481,98.24757720259078,99.74
2014-03-01,98.69310896226234,98.69969098968635,99.92
2014-04-01,99.20531077432312,99.2618443756427,99.76
2014-05-01,99.45470830228255,99.47857421629114,100.13
2014-06-01,98.72921688257195,98.62990461925752,99.9
2014-07-01,97.58731969333843,97.5154963011331,99.3
2014-08-01,98.73520675416513,98.77751815059501,98.69
2014-09-01,100.09261249006187,100.10043410829394,99.19
2014-10-01,99.01954040131207,98.97644728747817,99.58
2014-11-01,99.5202538282639,99.63503150700076,99.55
2014-12-01,100.13180857615589,100.21895885228449,99.48
2015-01-01,100.06975165053449,100.17435265465812,99.54
2015-02-01,99.42635171711929,99.52539030631377,99.73
2015-03-01,99.33676938518137,99.25852010710831,99.97
2015-04-01,99.60311072874516,99.45986359831984,99.98
2015-05-01,100.04774948444795,100.02572604050425,100.48
2015-06-01,100.72229863833707,100.70361177151747,100.21
2015-07-01,99.8644836116043,99.76700687550264,99.61
2015-08-01,100.53074896952987,100.76591444048279,99.48
2015-09-01,99.69306934077053,99.94329871197485,100.06
2015-10-01,99.5764641148404,99.6095721415285,100.6
2015-11-01,100.03457870530639,99.83393550027841,100.34
2015-12-01,101.09462365358324,100.93280785181096,100.0
2016-01-01,100.61632179082056,100.51701103218285,99.86
2016-02-01,100.97337031167551,101.07058806274622,99.82
2016-03-01,100.91096180965482,101.19070163150981,100.35
2016-04-01,98.37960862543528,98.45532073808046,100.32
2016-05-01,99.77345618098428,100.08095631809381,101.48
2016-06-01,99.97642650620968,100.37672112945495,100.74
2016-07-01,100.3557861066195,100.51318588671583,100.87
2016-08-01,100.85990288255103,100.77620305895462,101.04
2016-09-01,101.20588806279042,101.238059521745,100.47
2016-10-01,101.4034306365911,101.72916658363505,100.4
2016-11-01,100.3943796180139,101.03475526200837,100.57
2016-12-01,99.71146626676372,100.08013717809831,100.74
2017-01-01,101.1317326347314,101.7202107473927,101.23
2017-02-01,100.84008606628745,100.8683750488612,101.51
2017-03-01,100.56300090734696,100.89160670895494,101.17
2017-04-01,100.74282491662893,101.2227763643436,101.09
2017-05-01,100.95651981167914,101.41641108771431,101.9
2017-06-01,101.32599636775015,101.70612713455924,101.57
2017-07-01,101.28911225169333,101.69991387175213,101.62
2017-08-01,100.60763872603988,101.01620211213643,101.68
2017-09-01,101.83623094091554,102.40572327544739,101.61
2017-10-01,100.74804860227067,101.10758711585194,102.08
2017-11-01,101.1859390644905,101.80659242709098,102.14
2017-12-01,99.50520192422044,100.2370671259422,102.18
2018-01-01,100.09617609294565,100.79419137281347,102.51
2018-02-01,101.14690514514541,101.7685276509076,102.36
2018-03-01,101.9194029473803,103.63920981893324,102.76
2018-04-01,97.52937549591803,98.44315807588839,102.81
2018-05-01,99.90429409153879,100.9380823352921,103.81
2018-06-01,100.54416622776903,101.81944151400062,103.61
2018-07-01,100.79560712289646,102.08551183383699,103.72
2018-08-01,99.95541528028473,101.04800494909934,104.01
2018-09-01,99.48979895018836,100.54420886383772,104.65
2018-10-01,99.94458793612715,101.10361194240144,104.46
2018-11-01,99.49134707550299,100.60574042868883,104.2
2018-12-01,100.14478543829557,101.2314492396403,104.85
2019-01-01,99.50629415026587,100.61856921429153,105.44
2019-02-01,99.20101788061955,100.33502335115718,105.52
2019-03-01,98.70087648620722,100.43352700116522,105.23
2019-04-01,99.96168165172264,101.76763268728537,105.29
2019-05-01,99.79203531131041,101.66330633027299,106.07
2019-06-01,98.79840503764703,100.55956967548705,106.19
2019-07-01,99.07736672557948,100.75218154409136,106.81
2019-08-01,98.90753119279223,100.37245448981658,107.35
2019-09-01,99.11762852730163,100.50764613449434,106.75
2019-10-01,99.03350032094298,100.52183908446317,106.22
2019-11-01,98.80474667454378,100.95567710218405,106.34
2019-12-01,98.52406464400089,100.45047707444358,107.01
2020-01-01,98.43283416061118,100.09352776777945,107.47
2020-02-01,99.12970183773794,100.92113520871247,107.39
2020-03-01,109.90142468794394,113.67849478106238,107.34
2020-04-01,101.23211828143755,103.17087700829615,109.63
2020-05-01,104.65756271077285,106.44596784501697,110.24
2020-06-01,103.07920690785744,104.53293579025234,109.18
2020-07-01,100.46789730770264,101.84377838399172,107.99
2020-08-01,103.53147262544071,105.6569482916245,108.24
2020-09-01,99.96377022105113,101.79879845789837,107.69
2020-10-01,105.75965295914361,106.86968332068977,107.92
2020-11-01,98.84720765341383,102.4918217753115,108.65
2020-12-01,102.73368235774356,105.60363032413025,108.2
2021-01-01,103.46645436878741,106.12124557472696,108.57
2021-02-01,102.47443900803361,105.04419425075511,108.31
2021-03-01,104.34779006068715,107.05045565109894,108.38
2021-04-01,101.34798374637701,103.77824443233219,109.04
2021-05-01,100.98003217213869,103.60561069321899,109.7
2021-06-01,100.55065255996499,103.16116571005576,108.87
2021-07-01,100.2531300502655,102.90645571193986,108.98
2021-08-01,100.64730118660532,103.38884173257772,109.75
2021-09-01,100.89917248397397,103.56122006003612,108.86
2021-10-01,100.95701282806849,103.73128359407158,108.65
2021-11-01,101.07805153788973,104.1393884780278,109.09
2021-12-01,100.68304815064305,103.90629788798273,109.74
2022-01-01,100.21113217686255,103.43586503696316,110.41
2022-02-01,99.80116519756459,102.86222903114125,110.82
2022-03-01,98.43285792230407,101.43169646863477,111.87
2022-04-01,97.49085956184447,100.64065589801199,113.61
2022-05-01,97.6451075947375,100.70158858351701,114.75
2022-06-01,97.65691828895746,100.525852536347,115.7
2022-07-01,97.30897744684,100.12489756984104,116.88
2022-08-01,96.25423881715294,98.90320300977811,118.94
2022-09-01,95.47831617191763,98.07243013638623,120.41
2022-10-01,94.24564479921895,96.6873325096239,122.63
2022-11-01,93.80232666452636,96.21639425900696,123.25
2022-12-01,92.09327533524431,94.38625690314065,123.85
2023-01-01,92.69504206406563,95.12842756565433,126.03
2023-02-01,91.55108396950463,93.70640241672223,128.3
2023-03-01,89.33635836066584,91.90796514142357,130.76
